BUTLER,https://elections.bcohio.gov/Board_Meeting_Minutes/2024/20240904%20Minutes.pdf,9,4,15,0
BUTLER,https://www.cincinnati.com/story/news/politics/elections/2024/10/20/conservative-groups-inspire-mass-voter-challenges-in-ohio/75585555007/,7,15,20,1
BUTLER,https://www.journal-news.com/news/butler-county-getting-bombarded-with-requests-to-update-voter-rolls/M3XOPISFOZDYBLWUAAEPYU64VQ/,10,28,3000,0
COLUMBIANA,https://www.morningjournalnews.com/news/local-news/2024/06/elections-board-rejects-challenge-of-former-salem-councilmans-right-to-vote-while-living-in-canada/,6,11,1,0
CUYAHOGA,https://www.ideastream.org/show/sound-of-ideas/2024-10-25/ohio-elections-officials-swamped-with-voter-registration-challenges-reporters-roundtable,10,24,1,1
CUYAHOGA,https://www.cbsnews.com/pittsburgh/news/disputes-over-access-to-the-vote-intensify-as-ohioans-begin-to-cast-ballots/,10,13,751,2
CUYAHOGA,https://www.cbsnews.com/pittsburgh/news/disputes-over-access-to-the-vote-intensify-as-ohioans-begin-to-cast-ballots/,10,13,1000,2
CUYAHOGA,https://ohiocapitaljournal.com/2024/07/12/advocates-concerned-with-ohios-mass-voter-purge-set-to-remove-500-people-experiencing-homelessness/,7,12,130,1
DELAWARE,https://www.dispatch.com/story/news/politics/elections/local/2024/09/20/franklin-delaware-county-find-fraudulent-voter-forms-from-black-fork/75277053007/,7,1,10,1
DELAWARE,https://apnews.com/article/election-2024-ohio-voter-registration-challenges-03c8c82f0742c963afa680882fedbc37,9,25,84,1
DELAWARE,https://apnews.com/article/election-2024-ohio-voter-registration-challenges-03c8c82f0742c963afa680882fedbc37,9,25,240,0
FAIRFIELD,https://signalcleveland.org/wp-content/uploads/2024/12/Fairfield-County-BOE-Tie-Vote-Decision-102224.pdf,10,22,32,0
FRANKLIN,https://www.ideastream.org/show/sound-of-ideas/2024-10-25/ohio-elections-officials-swamped-with-voter-registration-challenges-reporters-roundtable,10,23,3,1
FRANKLIN,https://www.dispatch.com/story/news/politics/elections/local/2024/09/20/franklin-delaware-county-find-fraudulent-voter-forms-from-black-fork/75277053007/,7,1,11,1
FRANKLIN,https://www.cleveland.com/open/2024/09/a-network-of-conservative-activists-wants-to-kick-thousands-of-ohioans-off-the-voter-rolls.html,9,25,200,0
FRANKLIN,https://vote.franklincountyohio.gov/BOEL-website/media/Documents/Board-Meeting-Minutes/2024/2024-10-07_Franklin-County-BOE-FULL.pdf,10,7,1,1